scenario_id,seed_set,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,run_time_sec
16,100,Equal_Linear,400,2,2,400.5205888888889,1.9950547022177691,2.0104170185839285,0.1301472222222202,0.24726488911154254,0.5208509291964258,4,1.0014467278365664,49713.42959126651,1.0085470398967675,24904.4429019138,1.062359352050056,5956.213723114296,11.657433032989502
16,200,Equal_Linear,400,2,2,400.43354444444446,1.9960009064516395,2.0086219129136995,0.10838611111111617,0.19995467741802386,0.4310956456849757,4,1.0006863731481812,50006.06008622283,1.0038220190699665,28100.22123458241,1.018710137830949,5898.022299121329,12.727104902267456
16,300,Equal_Linear,400,2,2,400.4592,1.995603295773284,2.0083707605527126,0.11480000000000247,0.21983521133579487,0.41853802763562875,4,1.000407154716711,50850.009707257734,1.001983573150129,30210.36254643969,1.0070733371492917,6214.885229096001,11.683228015899658
17,100,Equal_Linear,400,2,4,400.78334722222223,1.9968924024364036,4.005764876911651,0.19583680555555816,0.1553798781798177,0.14412192279127378,4,1.0008586129493986,54818.60400212442,1.0001769620365466,36150.126554253075,1.006861556101745,12406.573376462207,11.838660955429077
17,200,Equal_Linear,400,2,4,400.6753,1.997234659680405,4.003912419649758,0.16882499999999823,0.13826701597975388,0.0978104912439548,4,1.000379673954531,59818.79477758765,1.0005662361828882,38129.31360744972,1.004052051005513,12825.693603976215,12.11052417755127
17,300,Equal_Linear,400,2,4,400.81848333333335,1.9969999290321567,4.006341528672068,0.2046208333333368,0.15000354839216357,0.15853821680169577,4,1.0026467540811328,58409.21774756223,1.0022517419296202,36742.12982006904,1.019544824689901,12618.057193858542,12.20051097869873
18,100,Equal_Linear,400,4,4,400.2885138888889,3.992631621260763,4.0021371185214125,0.07212847222221797,0.18420946848092257,0.05342796303531294,4,1.0001452948573744,70996.20573367071,1.0008877258247446,17593.409677366548,1.0004452521636917,8476.48043531564,11.857731103897095
18,200,Equal_Linear,400,4,4,400.264525,3.9926298132167517,4.001230590689951,0.06613124999999798,0.1842546695812075,0.030764767248769864,4,1.00027747332081,67024.07049086271,1.0005195741470023,18393.370024450884,1.0014070767601442,8400.711575771616,12.453968048095703
18,300,Equal_Linear,400,4,4,400.30160277777776,3.992465299123211,4.002741910561603,0.07540069444443986,0.18836752191973005,0.06854776404008334,4,1.0003748899131333,65275.088515930285,1.001476355099008,17124.553760622173,1.0071465113409293,8408.916865826297,12.118357181549072
19,100,Equal_Linear,800,1,1,800.1650916666667,1.0000167460830842,1.007581514948377,0.02063645833334249,0.00167460830842181,0.758151494837711,4,1.0012581219994132,10129.130677784222,1.0002320797748943,19597.819515024028,1.0020208020613284,456.4086243760779,11.541183948516846
19,200,Equal_Linear,800,1,1,800.0898527777778,1.000020372679812,1.0092416679070915,0.011231597222220557,0.0020372679812030725,0.9241667907091466,4,1.0011650263185174,10331.040312997338,1.0002840742255763,19935.928874321504,1.0579450218885624,269.83787626991716,11.603211879730225
19,300,Equal_Linear,800,1,1,799.9665111111111,1.000019078368784,1.00996522121101,0.0041861111111103355,0.0019078368783898014,0.9965221211009956,4,1.0004301834564775,10678.590984265604,1.0004811617498413,20102.703651741285,1.0190240229502374,293.00011305743504,11.70566701889038
20,100,Equal_Linear,800,1,2,800.6764972222222,0.9999980260445377,2.0026557365969295,0.08456215277777801,1.9739554623088296e-4,0.13278682984647627,4,1.0028959100711814,44820.58297600268,1.0003619058762638,53969.24434945568,1.0102696740422454,9357.357673646362,12.58568811416626
20,200,Equal_Linear,800,1,2,800.5721472222222,1.0000572901002573,2.002143538213739,0.07151840277776955,0.00572901002573456,0.1071769106869569,4,1.0007504000492171,51064.16253644234,1.0001655564095868,55691.52369998515,1.007895621401371,10323.17676977749,11.852538108825684
20,300,Equal_Linear,800,1,2,800.7632805555555,0.9999648028635195,2.003863498650017,0.09541006944444064,0.0035197136480480395,0.19317493250083917,4,1.011896123565012,46790.142174895875,1.0002440745614134,52942.348094055895,1.0612138658418366,7308.920978460452,11.73257303237915
21,100,Equal_Linear,800,1,4,800.8539055555556,0.999999616296197,4.003166291628892,0.10673819444444632,3.837038029530504e-5,0.07915729072229816,4,1.0002697123432105,53018.1388277021,1.0000482178373316,57414.861710843674,1.006824392107627,12016.802460396722,12.20717716217041
21,200,Equal_Linear,800,1,4,800.8371,1.0000368875884154,4.0043471694419654,0.10463749999999548,0.003688758841535744,0.10867923604913621,4,1.0046167461208952,60160.639209240515,1.0001454696557115,62817.264461167026,1.0086596578364035,10851.535509650166,12.270423889160156
21,300,Equal_Linear,800,1,4,801.0526166666667,1.0000118550569939,4.0053519106659605,0.13157708333334028,0.0011855056993859137,0.1337977666490131,4,1.001146707431162,45051.121867969414,1.000107225321358,60398.93143870347,1.0022418697873432,8734.912613782273,12.103016138076782
22,100,Equal_Linear,800,2,2,800.2991944444444,1.9982690661482043,2.002820715950876,0.03739930555555304,0.08654669258978398,0.14103579754380924,4,1.0006159150806166,57397.035058408175,1.0023020474196818,35767.86176375672,1.0134292126066535,9258.45231178827,11.735224962234497
22,200,Equal_Linear,800,2,2,800.2575194444445,1.9984672940113373,2.002387027205516,0.03218993055556041,0.07663529943313652,0.11935136027581006,4,1.0001093589915722,58578.2680390886,1.0014313818069505,35908.50984448868,1.0061629782186574,11110.656197965283,11.934998035430908
22,300,Equal_Linear,800,2,2,800.3187111111112,1.998237159835754,2.003123936206366,0.03983888888889453,0.08814200821229967,0.1561968103183098,4,1.0004430587359772,59387.998061129554,1.0008390402404777,34750.338692323414,1.004596082976036,7969.363044067715,11.66234016418457
23,100,Equal_Linear,800,2,4,800.4258472222223,1.9988995150144642,4.001990902650245,0.0532309027777842,0.055024249276791615,0.049772566256134354,4,1.0008719303844529,82289.66203550319,1.000433517936687,46187.542226078025,1.0023312606784534,14810.564266725645,12.018418073654175
23,200,Equal_Linear,800,2,4,800.48373611111106,1.99875592401705,4.002476138553787,0.060467013888882086,0.06220379914749774,0.06190346384467027,4,1.0003176921814112,75283.08928680609,1.0002416203773417,43438.45905907336,1.0017267037025515,14687.74815678018,12.064389944076538
23,300,Equal_Linear,800,2,4,800.4742166666666,1.9987076878743204,4.002891735956778,0.059277083333327596,0.06461560628397978,0.07229339891945408,4,1.0006237667686977,83344.51378936812,1.0007305587996254,45190.072342825995,1.004720563640004,14479.661056387024,12.57306981086731
24,100,Equal_Linear,800,4,4,800.117725,3.9967082056973315,4.0018122786748735,0.014715624999993793,0.08229485756671151,0.04530696687183866,4,1.0004022588071781,75668.0729146398,1.002259123622241,19927.177361551585,1.0028868043895725,8695.581631256764,11.8522207736969
24,200,Equal_Linear,800,4,4,800.0980333333333,3.997154182178061,4.001322469056789,0.0122541666666649,0.07114544554847058,0.03306172641972527,4,1.0002362435989371,79748.66043863326,1.001003696629221,21808.008578226443,1.0027782982218274,9305.320693337886,11.764532804489136
24,300,Equal_Linear,800,4,4,800.0486027777778,3.9974886261641966,4.000711855634566,0.006075347222221694,0.06278434589508386,0.017796390864144307,4,1.0001078656358178,83011.51005811524,1.0001139349830388,23165.23651748508,1.00091086130178,9790.862965665166,11.754080057144165
25,100,Equal_Linear,1600,1,1,1600.0957694444444,1.0000036089760325,1.0044187125031825,0.005985590277774122,3.6089760324653497e-4,0.4418712503182487,4,1.0010306938098723,10019.06222122959,1.0006583376842444,19734.38498067122,1.1305218819475522,320.45347640608884,11.833851099014282
25,200,Equal_Linear,1600,1,1,1600.041038888889,1.0000031422827647,1.0064394475910516,0.002564930555564615,3.1422827646565565e-4,0.6439447591051639,4,1.0017381817805873,8738.70412723382,1.0004786478595589,20218.996320265232,1.1717680689194692,181.23561453067325,11.797341108322144
25,300,Equal_Linear,1600,1,1,1599.9521027777778,0.9999811546685913,1.0050048245702228,0.0029935763888886413,0.0018845331408723354,0.5004824570222777,4,1.0006396462625504,12640.99650206603,1.0014277982682604,19757.206344254453,1.088931409603419,290.8971871949623,12.193706035614014
26,100,Equal_Linear,1600,1,2,1600.5471305555557,1.0000143245304065,2.0009946878218257,0.034195659722229266,0.0014324530406506497,0.04973439109128286,4,1.0028375071388202,54280.533771814975,1.0002527520627633,54961.70297018353,1.0203025647419874,11859.783749970426,12.485672950744629
26,200,Equal_Linear,1600,1,2,1600.4541333333334,1.0000073267514382,2.0006641810017554,0.028383333333337646,7.326751438219148e-4,0.03320905008776798,4,1.0024970069903625,59538.34884396584,1.000260812917646,57302.09113998797,1.0092072621679975,13619.666956432713,12.16174602508545
26,300,Equal_Linear,1600,1,2,1602.0533805555556,1.0000187859902474,2.0015010741054162,0.12833628472222358,0.0018785990247405238,0.07505370527081112,4,1.2976596950284127,36042.14528927215,1.0004587784810592,55239.96796679202,1.0182059570287736,8131.262197404045,11.620687007904053
27,100,Equal_Linear,1600,1,4,1600.827847222222,0.9999978099737197,4.001593980898768,0.051740451388880615,2.1900262803242754e-4,0.039849522469204146,4,1.0010916960220344,49482.3282854167,1.0000840476125867,57795.35264380497,1.001877402650495,12298.758686205834,12.54011583328247
27,200,Equal_Linear,1600,1,4,1600.9333444444446,1.000006132150233,4.001998397471093,0.058334027777789295,6.132150232929234e-4,0.0499599367773218,4,1.017677022703435,43228.609418449276,1.000116136617293,59682.890293694894,1.014915226237432,10268.330260535055,12.346853017807007
27,300,Equal_Linear,1600,1,4,1607.466588888889,0.9999885097635073,4.001921749881587,0.46666180555556025,0.0011490236492717187,0.04804374703968328,4,1.322621661837914,28573.003092368515,1.0002872736158042,56047.37085111196,1.0145172410202226,9571.931495268185,12.050171852111816
28,100,Equal_Linear,1600,2,2,1600.29225,1.9989683170402053,2.002496444917866,0.018265624999997954,0.051584147989736095,0.12482224589329682,4,1.0076098856948628,52728.03216607099,1.0431644115649104,30639.23729179888,1.3625312931327545,9382.628919010991,12.144820928573608
28,200,Equal_Linear,1600,2,2,1600.1598555555556,1.9993715493041277,2.000909171426431,0.009990972222226446,0.031422534793612567,0.04545857132154385,4,1.0002550103174337,58636.05455644394,1.000357303130468,38085.27989003849,1.003206326778462,12507.204386255939,11.95921015739441
28,300,Equal_Linear,1600,2,2,1600.307163888889,1.9990658403341566,2.00177154398029,0.01919774305555677,0.046707983292171296,0.08857719901449457,4,1.001453808380465,56948.14246981633,1.0067534648530279,31352.36985462521,1.03601538906972,8078.199192764533,12.108497142791748
29,100,Equal_Linear,1600,2,4,1600.2954527777777,1.999405350779894,4.0007732722100675,0.018465798611103423,0.029732461005305133,0.01933180525168776,4,1.0008987511404157,84539.18206704676,1.0015412706134958,43572.350977209375,1.0024346128958976,16144.272993629365,12.716760873794556
29,200,Equal_Linear,1600,2,4,1600.2529083333334,1.9994844788972068,4.000540435715008,0.01580677083333626,0.025776055139659082,0.013510892875201463,4,1.0001356256417553,84473.05655243261,1.0003774017856588,44665.50041761745,1.002126844894079,17490.27838461093,12.210309982299805
29,300,Equal_Linear,1600,2,4,1600.305247222222,1.9994446501456444,4.0006183798255845,0.01907795138887991,0.027767492717778453,0.015459495639613685,4,1.0008749898612728,84912.4601667382,1.0006642336618317,42256.17084773021,1.002407845933546,16647.74322622201,12.491600036621094
30,100,Equal_Linear,1600,4,4,1599.9957916666667,3.9988602050390645,4.000147585331886,2.630208333300743e-4,0.028494874023388128,0.0036896332971547707,4,1.00009922380673,86690.49621796569,1.000751761624764,25688.483505077602,1.0016705432224002,10459.10362854623,11.73041296005249
30,200,Equal_Linear,1600,4,4,1599.9666222222222,3.998842955861535,4.000034632842483,0.002086111111111677,0.028926103461623942,8.658210620682283e-4,4,1.0000978330503119,83718.25190914201,1.0002041455620059,25560.782727561775,1.0017833512611436,9849.747932480235,10.069571018218994
30,300,Equal_Linear,1600,4,4,1599.96375,3.999021284569883,3.999897561063106,0.002265625000006821,0.024467885752921248,0.0025609734223497327,4,1.0001536202913817,86618.35037190454,1.0002638805786481,25837.667057372768,1.0006032344736229,10937.903738227116,10.198615074157715
